id,key,value,type
14286987,junction,spui,regular
14286987,cfcc,A63,tiger
14286987,county,"Clark, NV",tiger
14286987,reviewed,no,tiger
14287437,oneway,yes,regular
14287437,source,Yahoo image; TIGER,regular
14287437,bicycle,no,regular
14287437,highway,motorway_link,regular
14287846,highway,track,regular
14287846,cfcc,A41,tiger
14287846,tlid,201837579:201837581,tiger
14287846,county,"Clark, NV",tiger
14287846,source,tiger_import_dch_v0.6_20070813,tiger
14287846,reviewed,no,tiger
14287846,separated,no,tiger
14287846,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14288123,name,North Fayle Street,regular
14288123,highway,track,regular
14288123,cfcc,A41,tiger
14288123,county,"Clark, NV",tiger
14288123,reviewed,no,tiger
14288437,highway,residential,regular
14288437,cfcc,A41,tiger
14288437,county,"Clark, NV",tiger
14288437,reviewed,no,tiger
14288949,highway,track,regular
14288949,surface,ground,regular
14288949,tracktype,grade4,regular
14288949,cfcc,A41,tiger
14288949,county,"Clark, NV",tiger
14288949,reviewed,no,tiger
14289455,name,Railroad Tunnel Trail,regular
14289455,bicycle,yes,regular
14289455,highway,path,regular
14289455,surface,compacted,regular
14289455,cfcc,A41,tiger
14289455,county,"Clark, NV",tiger
14289455,reviewed,yes,tiger
14289960,highway,residential,regular
14289960,cfcc,A41,tiger
14289960,tlid,201853458:201853459,tiger
14289960,county,"Clark, NV",tiger
14289960,source,tiger_import_dch_v0.6_20070813,tiger
14289960,reviewed,no,tiger
14289960,separated,no,tiger
14289960,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14290153,highway,residential,regular
14290153,cfcc,A41,tiger
14290153,tlid,201975574,tiger
14290153,county,"Clark, NV",tiger
14290153,source,tiger_import_dch_v0.6_20070813,tiger
14290153,reviewed,no,tiger
14290153,separated,no,tiger
14290153,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14290415,access,private,regular
14290415,highway,service,regular
14290415,cfcc,A74,tiger
14290415,county,"Clark, NV",tiger
14290415,reviewed,no,tiger
14290569,highway,residential,regular
14290569,cfcc,A41,tiger
14290569,tlid,201945072,tiger
14290569,county,"Clark, NV",tiger
14290569,source,tiger_import_dch_v0.6_20070813,tiger
14290569,reviewed,no,tiger
14290569,separated,no,tiger
14290569,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14290824,oneway,yes,regular
14290824,bicycle,yes,regular
14290824,highway,motorway_link,regular
14290824,cfcc,A41,tiger
14290824,tlid,201843191,tiger
14290824,county,"Clark, NV",tiger
14290824,source,tiger_import_dch_v0.6_20070813,tiger
14290824,reviewed,no,tiger
14290824,separated,no,tiger
14290824,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14290997,highway,residential,regular
14290997,cfcc,A41,tiger
14290997,tlid,201837097,tiger
14290997,county,"Clark, NV",tiger
14290997,source,tiger_import_dch_v0.6_20070813,tiger
14290997,reviewed,no,tiger
14290997,separated,no,tiger
14290997,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14291107,access,private,regular
14291107,highway,service,regular
14291107,cfcc,A74,tiger
14291107,tlid,201937239:201937242:201937245,tiger
14291107,county,"Clark, NV",tiger
14291107,source,tiger_import_dch_v0.6_20070813,tiger
14291107,reviewed,no,tiger
14291107,upload_uuid,bulk_upload.pl-fa98df75-5974-4c49-9081-f3ca4b3c7383,tiger
14291238,oneway,yes,regular
14291238,source,Yahoo image; TIGER,regular
